chrom	start	end
chrX	7634249	7635066
chrX	99291765	99292035
chrX	7412304	7412796
chrX	164400236	164400774
chrX	164044526	164045431
chrX	99354663	99355235
chrX	52030109	52030434
chrX	92120928	92121115
chrX	7553174	7554032
chrX	134428994	134429556
chrX	12061576	12063468
chrX	8217149	8218171
chrX	166292001	166292308
chrX	36411811	36412327
chrX	11797418	11798118
chrX	169717857	169718105
chrX	102293506	102293915
chrX	93990780	93991038
chrX	143046248	143046644
chrX	94373743	94374193
chrX	139314234	139314752
chrX	57325570	57325937
chrX	136152840	136153235
chrX	157817181	157819454
chrX	48652237	48652546
chrX	20253510	20253628
chrX	11848958	11849152
chrX	166275235	166275528
chrX	142516155	142516601
chrX	133646710	133646791
chrX	103694489	103694939
chrX	99547285	99548601
chrX	52151778	52152388
chrX	51389178	51389567
chrX	41549097	41549221
chrX	36605470	36605569
chrX	17352437	17352957
chrX	10141277	10141805
chrX	169370312	169370358
chrX	167856780	167856916
chrX	162846145	162846315
chrX	162081846	162082907
chrX	159526199	159526422
chrX	159314988	159315721
chrX	158012926	158013125
chrX	152222942	152223488
chrX	144523527	144523625
chrX	143852454	143853000
chrX	143084265	143084548
chrX	140678908	140679173
chrX	136180967	136181289
chrX	135628655	135629186
chrX	135627299	135627652
chrX	113074975	113075392
chrX	105173839	105174390
chrX	104115113	104115406
chrX	101819009	101819140
chrX	100530005	100530276
chrX	99021704	99021819
chrX	98356535	98356728
chrX	96042303	96042460
chrX	94649904	94650214
chrX	93424588	93424641
chrX	76819876	76820266
chrX	75777091	75777129
chrX	73435439	73435562
chrX	68723190	68723520
chrX	57146758	57146936
chrX	53209477	53209790
chrX	52304863	52305819
chrX	52074063	52074632
chrX	51179319	51179415
chrX	49453719	49454040
chrX	42408425	42408583
chrX	41932401	41932464
chrX	38431932	38431997
chrX	38144057	38144204
chrX	37027979	37028659
chrX	36787210	36787405
chrX	22902674	22902734
chrX	20414964	20415292
chrX	14101775	14102055
chrX	12298593	12299355
chrX	11918583	11919445
chrX	11098912	11100434
chrX	7637181	7637253
chrX	7633653	7633721
chrX	52112106	52112239
chrX	6417142	6417392
chrX	139774843	139775709
chrX	18320992	18321081
chrX	13464179	13464323
chrX	12126784	12127541
chrX	12068825	12069326
chrX	163868567	163868979
chrX	137161317	137161496
chrX	118121129	118121512
chrX	99071163	99071650
chrX	48424995	48425586
chrX	48156734	48157426
chrX	41581309	41581808
chrX	12389872	12390318
chrX	12070201	12070481
chrX	99185045	99185408
chrX	143065692	143066246
chrX	77658094	77658146
chrX	22811906	22812127
chrX	142682517	142682734
chrX	169828742	169828953
chrX	169331743	169331882
chrX	169070099	169070241
chrX	166952646	166953178
chrX	166847111	166847312
chrX	166535219	166535665
chrX	166353635	166353912
chrX	166177928	166178266
chrX	165804174	165804449
chrX	165072169	165072478
chrX	164041942	164042609
chrX	162969684	162970094
chrX	161739041	161739088
chrX	161729312	161729682
chrX	161698191	161698468
chrX	159285561	159285673
chrX	158943773	158943972
chrX	158544053	158544295
chrX	158532673	158533041
chrX	157995821	157995858
chrX	157417155	157417746
chrX	157390178	157390418
chrX	157305909	157306190
chrX	156595129	156595459
chrX	153604302	153604412
chrX	152385378	152385796
chrX	152363201	152363316
chrX	152322338	152322762
chrX	152175842	152175942
chrX	151325692	151325911
chrX	150993669	150993810
chrX	150654979	150655060
chrX	150403326	150403409
chrX	147541604	147541642
chrX	146662418	146662523
chrX	145521365	145521436
chrX	143608055	143608500
chrX	143410567	143410991
chrX	142748368	142749266
chrX	142679189	142679406
chrX	142531878	142532332
chrX	142196506	142196707
chrX	140979802	140980164
chrX	140547627	140547915
chrX	140070913	140071544
chrX	139767234	139767283
chrX	139487865	139488082
chrX	138287775	138288016
chrX	136984485	136984555
chrX	136916382	136916639
chrX	136842185	136842894
chrX	136840169	136840294
chrX	136106663	136107105
chrX	135776172	135776400
chrX	134611348	134611695
chrX	134280272	134280316
chrX	134259394	134259496
chrX	134214161	134214305
chrX	131707507	131707546
chrX	106840201	106840337
chrX	105828299	105828616
chrX	103086733	103086948
chrX	102695253	102695538
chrX	101754611	101754982
chrX	101620538	101620671
chrX	101396030	101396431
chrX	101366096	101366426
chrX	100575549	100575674
chrX	100559508	100559576
chrX	100516939	100517025
chrX	100461592	100461794
chrX	100458300	100458402
chrX	99826459	99826605
chrX	99672810	99673220
chrX	99602222	99602489
chrX	99575288	99575683
chrX	99538290	99538365
chrX	99392670	99393029
chrX	99336740	99336898
chrX	99050460	99051038
chrX	95478615	95478957
chrX	95314627	95315058
chrX	94083671	94084464
chrX	93912222	93912449
chrX	93804479	93804691
chrX	93717680	93717834
chrX	93604797	93605058
chrX	93429006	93429577
chrX	89882617	89882848
chrX	87589205	87589265
chrX	77423075	77423107
chrX	76945332	76945566
chrX	75755756	75755910
chrX	74210419	74210635
chrX	74120132	74120371
chrX	73657308	73657560
chrX	71642914	71643016
chrX	70829356	70829591
chrX	69863451	69863698
chrX	69734244	69734380
chrX	61394902	61395025
chrX	57349982	57350024
chrX	57283906	57284012
chrX	56742629	56742969
chrX	56452703	56452919
chrX	56432138	56432163
chrX	56370256	56370425
chrX	53118605	53119065
chrX	52651570	52651648
chrX	52632325	52632541
chrX	52629362	52629895
chrX	52255553	52255849
chrX	52056435	52056724
chrX	51683162	51683302
chrX	51463581	51464066
chrX	50012246	50012463
chrX	49249157	49249248
chrX	48449962	48450163
chrX	48198125	48198388
chrX	48175158	48175487
chrX	42470487	42470789
chrX	41733085	41733162
chrX	41552074	41552253
chrX	38524464	38524743
chrX	38513997	38514491
chrX	37182029	37182085
chrX	35897755	35897938
chrX	22837509	22837850
chrX	20906575	20906686
chrX	20842305	20842599
chrX	15221716	15221776
chrX	13782819	13782922
chrX	12951283	12951624
chrX	12917582	12917740
chrX	12768763	12768910
chrX	12152924	12153735
chrX	12007626	12008102
chrX	12004262	12006048
chrX	12002271	12002498
chrX	11899856	11900474
chrX	11847250	11847610
chrX	11826769	11827290
chrX	11621581	11621993
chrX	11491327	11491536
chrX	11435132	11435598
chrX	10763572	10763860
chrX	10715025	10715129
chrX	10392266	10393272
chrX	7813344	7813528
chrX	7792087	7792526
chrX	7769166	7769276
chrX	7761461	7761676
chrX	7658157	7658736
chrX	6562604	6562780
chrX	6419448	6419749
chrX	6417866	6418210
chrX	6357942	6358265
chrX	6318450	6318680
chr9	61583239	61584019
chr9	48685210	48686071
chr9	41001113	41002421
chr9	60562974	60564004
chr9	45457187	45457482
chr9	45499222	45500109
chr9	120196300	120197377
chr9	56611669	56613362
chr9	121475407	121476538
chr9	14206950	14207908
chr9	96505435	96506445
chr9	99394480	99394742
chr9	96977402	96978222
chr9	47054430	47055111
chr9	45555687	45556582
chr9	68761425	68762181
chr9	52104782	52105916
chr9	70159447	70160786
chr9	87617084	87618284
chr9	103546310	103547837
chr9	29285543	29285994
chr9	96990135	96991964
chr9	37027425	37028783
chr9	45506707	45508097
chr9	63973671	63974324
chr9	68635502	68636087
chr9	120839151	120839353
chr9	75347623	75348092
chr9	62419727	62420177
chr9	122455002	122456159
chr9	108574145	108575476
chr9	83600395	83601537
chr9	73094506	73095922
chr9	61400920	61402543
chr9	121487913	121489360
chr9	67722402	67722814
chr9	61556488	61557594
chr9	121093544	121094615
chr9	120411971	120413562
chr9	69591821	69593156
chr9	110385640	110386234
chr9	61677069	61678157
chr9	122422685	122423467
chr9	121388404	121389464
chr9	103746567	103747648
chr9	56645928	56647745
chr9	62674775	62675284
chr9	101840663	101841727
chr9	27190473	27190899
chr9	48805932	48806987
chr9	45586471	45586657
chr9	29645234	29646098
chr9	42118284	42120464
chr9	50751933	50752265
chr9	43878978	43879649
chr9	98505592	98506678
chr9	107381714	107382876
chr9	102649948	102651040
chr9	122169704	122170528
chr9	121818837	121819934
chr9	119003109	119004136
chr9	120115921	120116531
chr9	100995915	100996911
chr9	108093551	108094287
chr9	96716775	96717913
chr9	103959844	103960300
chr9	96989333	96989864
chr9	107443099	107444607
chr9	43866952	43867477
chr9	45648931	45649827
chr9	68826533	68828148
chr9	103845908	103846529
chr9	117633316	117633780
chr9	67023184	67023743
chr9	42248131	42248793
chr9	43754590	43755413
chr9	118641408	118642105
chr9	94696413	94696885
chr9	107470322	107471018
chr9	34688588	34689185
chr9	48830327	48831317
chr9	57810421	57811332
chr9	45677354	45678408
chr9	47858030	47859472
chr9	79965399	79966210
chr9	61435045	61436020
chr9	41126327	41127021
chr9	57803853	57804384
chr9	107506579	107507570
chr9	107511356	107511785
chr9	97586311	97586332
chr9	117781089	117781790
chr9	106910138	106910810
chr9	103471615	103472073
chr9	68723724	68725277
chr9	59748721	59749514
chr9	51839888	51840575
chr9	42121171	42122965
chr9	42117069	42117556
chr9	42100842	42102462
chr9	41981764	41982859
chr9	29848272	29849906
chr9	92833911	92834419
chr9	75226701	75228630
chr9	40230903	40231507
