V1	V2	V3
chr12	47165152	47165416
chr5	113302818	113303082
chr10	95088095	95088359
chr5	118111461	118111711
chr10	14209751	14210001
chr1	188812984	188813234
chr1	34810242	34810406
chr1	182820463	182820713
chr10	111396798	111397062
chr19	53811908	53812172
chr2	167151361	167151625
chr7	56768206	56768470
chr8	109659216	109659470
chr11	96837969	96838219
chr12	3408996	3409260
chr9	121370901	121371151
chr2	30598787	30599039
chr7	112376286	112376536
chr15	100832093	100832343
chr11	117314530	117314780
chr14	55187270	55187520
chr19	57412846	57413110
chr2	79453351	79453615
chr2	179850771	179851035
chr10	90857687	90857951
chr2	136510614	136510864
chr2	113061299	113061563
chr8	66754142	66754316
chr10	78146402	78146655
chr11	99124504	99124754
chr19	38289284	38289534
chr7	16620902	16621155
chr10	80374008	80374258
chr8	46936470	46936720
chr12	15759811	15759969
chr7	111365579	111365829
chr8	111734700	111734950
chr4	111501129	111501379
chr4	129221222	129221486
chr2	84867943	84868199
chr10	59661387	59661651
chr7	101474319	101474583
chr9	58205150	58205411
chr4	153422241	153422491
chr12	113140369	113140619
chr4	28301260	28301524
chr10	118163512	118163776
chr13	68827832	68828082
chr10	99454350	99454614
chr14	72006695	72006959
chr5	120109009	120109273
chr6	41615864	41616114
chr19	7276537	7276787
chr4	141782219	141782483
chr1	153264760	153265010
chr2	129594634	129594884
chr9	106293086	106293350
chr10	95080516	95080778
chr18	77287504	77287768
chr4	120881069	120881319
chr11	90200345	90200609
chr2	30334404	30334654
chr6	31972042	31972292
chr1	73933569	73933819
chr17	27202223	27202487
chr13	47164802	47165065
chr13	57929851	57930115
chr5	25789506	25789756
chr19	55994741	55995005
chr13	48693023	48693287
chr9	44826755	44827005
chr15	100321816	100322128
chr13	63248989	63249239
chr12	110282949	110283213
chr17	64140625	64140889
chr11	100747293	100747543
chr1	15946032	15946282
chr3	126668207	126668471
chr1	36443467	36443717
chr11	117266911	117267161
chr11	108184771	108185021
chr11	116645926	116646182
chr12	47160624	47160888
chr4	9441992	9442256
chr19	10400536	10400800
chr7	25061737	25061987
chr16	18056744	18057008
chr8	120424758	120425022
chr7	115455750	115456014
chr17	12856103	12856353
chr17	26370901	26371152
chr17	35318840	35319104
chr17	84318651	84318910
chr14	12298731	12298981
chr9	121491773	121492037
chr1	106868392	106868656
chr4	41724590	41724854
chr16	90107153	90107417
chr5	125026214	125026464
chr5	96960102	96960366
chr17	87371556	87371811
chr8	9579577	9579841
chr5	123256952	123257216
chr17	25600289	25600539
chr3	55474714	55474892
chr17	27383415	27383859
chr10	112261369	112261619
chr15	95854590	95854854
chr13	57780803	57781053
chr1	189517858	189518108
chr1	92221891	92222155
chr2	168332659	168332923
chr3	8865586	8865850
chr11	115342780	115343030
chr11	35175897	35176147
chr12	4196902	4197166
chr7	136579838	136580088
chr14	79826982	79827232
chr8	15940377	15940627
chr5	112495885	112496135
chr10	75880869	75881133
chr15	99499555	99499811
chr5	55446894	55447158
chr9	97565438	97565700
chr7	78595905	78596155
chr10	81125830	81126080
chr11	5065352	5065602
chr6	124323784	124323928
chr1	75241966	75242220
chr5	36316158	36316408
chr13	99077003	99077266
chr5	111153744	111153994
chr1	192269267	192269531
chr10	58744256	58744520
chr9	56889442	56889692
chr1	135738939	135739203
chr16	94305178	94305428
chr10	41982075	41982339
chr6	33761110	33761360
chr3	107794033	107794283
chr18	73931631	73931895
chr1	133799564	133799814
chr8	84910997	84911252
chr5	34173092	34173356
chr11	94143827	94144091
chr3	88173633	88173896
chr1	51197266	51197530
chr2	37763013	37763263
chr8	84203620	84203884
chr5	37898200	37898450
chr12	117238316	117238566
chr2	180827190	180827454
chr6	88734460	88734710
chr14	57556899	57557150
chr4	138481962	138482226
chr11	87780844	87781178
chr8	109654708	109654962
chr5	126204061	126204311
chr11	102025825	102026089
chr17	49032298	49032562
chr15	80673462	80673726
chr4	129808642	129808906
chr7	4506208	4506467
chr15	66103857	66103962
chr1	34824421	34824671
chr4	140142014	140142264
chr10	80843992	80844256
chr16	8304256	8304506
chr17	56126618	56126868
chr4	120876569	120876819
chr11	72180415	72180665
chr13	44319967	44320231
chr2	153082512	153082762
chr16	18133804	18134068
chr15	80692085	80692345
chr13	3865495	3865756
chr19	48256886	48257150
chr10	127223582	127223832
chr6	99272285	99272540
chr6	117069168	117069418
chr10	59092127	59092391
chr13	116882178	116882428
chr8	72684678	72684928
chr12	17082681	17082945
chr7	75854872	75855136
chr4	44975849	44976112
chr17	31875630	31875820
chr11	51625610	51625874
chr6	72687510	72687651
chr18	25613913	25614177
chr13	92329507	92329771
chr16	32849447	32849711
chr4	154082543	154082807
chr4	57685266	57685522
chr1	60486453	60486717
chr11	117751776	117752026
chr9	63061563	63061827
chr19	41709527	41709791
chr7	143889056	143889306
chr14	120372618	120372872
chr17	26034410	26034660
chr4	89385051	89385301
chr10	123362426	123362676
chr3	79068736	79069000
chr4	40882474	40882724
chr16	87443612	87443870
chr6	107934151	107934401
chr6	127157863	127158113
chr2	102169695	102169959
chr13	93056384	93056634
chr1	154255051	154255315
chr9	107624387	107624637
chr17	11952263	11952513
chr6	73391582	73391837
chr3	137417919	137418183
chr8	12784820	12785084
chr14	9073535	9073799
chr3	70105128	70105392
chr5	112491385	112491635
chr7	46362074	46362324
chr2	166572793	166573057
chr10	118158984	118159248
chr1	135570528	135570784
chr11	72175915	72176165
chr6	143429760	143430010
chr16	22706593	22706848
chr11	71941275	71941529
chr7	80718825	80719075
chr14	58265585	58265846
chr5	136773285	136773535
chr8	3606936	3607186
chr4	152271538	152271801
chr4	105118843	105119107
chr4	141123022	141123272
chr19	46376691	46376941
chr13	101223163	101223419
chr10	98804646	98804910
chr5	99216714	99216978
chr3	101379083	101379333
chr2	10053227	10053485
chr6	115359826	115360090
chr9	113261695	113261863
chr4	136283983	136284233
chr15	79794033	79794297
chr8	91907747	91908011
chr9	107984314	107984578
chr2	93185267	93185531
chr5	125643975	125644225
chr8	86413542	86413796
chr7	113137919	113138169
chr11	102399172	102399362
chr16	27382685	27382935
chr13	56784034	56784284
chr4	133076401	133076658
chr15	100068344	100068608
chr6	107938651	107938901
chr19	45820177	45820427
chr11	35280940	35281204
chr2	156683959	156684223
chr18	60483378	60483640
chr11	118555961	118556211
chr9	58201412	58201676
chr3	138878891	138879155
chr11	94530999	94531249
chr17	35040168	35040422
chr7	37977546	37977810
chr15	68482596	68482860
chr16	18149895	18150158
chr17	90592656	90592906
chr2	28655762	28656012
chr12	78096387	78096646
chr8	70600940	70601204
chr2	28208685	28208940
chr1	35866610	35866874
chr12	12965799	12966063
chr17	75972161	75972425
chr15	101050990	101051240
chr17	5331837	5332093
chr11	103190676	103190940
chr1	194616295	194616559
chr8	123153006	123153270
chr4	116163119	116163369
chr15	74900852	74901116
chr1	127936604	127936773
chr11	4495557	4495821
chr12	111167088	111167338
chr12	58213891	58214155
chr8	15560229	15560479
chr10	122567345	122567609
chr2	28213195	28213450
chr6	50442614	50442864
chr5	142901635	142901885
chr1	119449379	119449537
chr16	27387185	27387435
chr7	80410123	80410387
chr7	99461216	99461466
chr7	143150253	143150505
chr1	24659526	24659716
chr14	23504560	23504810
chr7	128180716	128180966
chr1	89134940	89135204
chr2	32346183	32346447
chr1	135134795	135135048
chr4	127710567	127710831
chr10	99220504	99220754
chr8	11271359	11271609
chr11	61149852	61150105
chr19	40700290	40700554
chr15	79662433	79662697
chr9	21095531	21095781
chr4	116010010	116010274
chr16	21521517	21521767
chr1	37012195	37012445
chr18	80351541	80351759
chr12	112588399	112588663
chr6	88188774	88189038
chr11	46286235	46286499
chr4	101448298	101448548
chr9	67274237	67274501
chr15	37568137	37568393
chr5	132456301	132456551
chr17	90597156	90597406
chr19	10370142	10370402
chr3	108356422	108356672
chr18	73927103	73927367
chr10	56168140	56168404
chr2	167780013	167780263
chr15	80636696	80636960
chr13	54339365	54339625
chr9	42085875	42086017
chr9	41189631	41189881
chr17	45598142	45598406
chr9	36999747	37000007
chr11	58961338	58961588
chr13	40897448	40897698
chr10	127212573	127212837
chr11	46281707	46281971
chr18	77432028	77432285
chr19	57164340	57164604
chr3	148876340	148876604
chr3	58791779	58792029
chr9	102649339	102649589
chr14	31398881	31399145
chr17	56906528	56906778
chr2	172860977	172861227
chr11	101994731	101994990
chr2	35580576	35580692
chr5	145132496	145132760
chr19	44620533	44620783
chr9	31228126	31228376
chr13	18860601	18860865
chr12	80525546	80525810
chr19	28500723	28500978
chr5	36916057	36916321
chr7	100444077	100444327
chr11	51621082	51621346
chr11	100374698	100374962
chr14	26311192	26311456
chr4	150942561	150942811
chr2	69972710	69972960
chr14	25583794	25584044
chr6	28109353	28109608
chr4	154062772	154063022
chr5	140871155	140871419
chr15	34832451	34832715
chr17	87171426	87171676
chr9	27203853	27204103
chr11	103405132	103405382
chr7	143903462	143903716
chr2	129742983	129743233
chr14	58200732	58200982
chr5	4995530	4995780
chr5	121890052	121890314
chr15	76518823	76519073
chr16	94300678	94300928
chr16	95570998	95571248
chr4	152210861	152211111
chr13	57763529	57763779
chr15	82109585	82109849
chr2	166580985	166581249
chr1	90459542	90459806
chr2	24687756	24688011
chr17	27388303	27388747
chr3	88482389	88482653
chr4	153715088	153715338
chr18	60932259	60932432
chr10	111012369	111012619
chr5	71028256	71028349
chr17	83126987	83127237
chr7	15982497	15982720
chr12	3873406	3873670
chr12	109415615	109415879
chr13	43335862	43336112
chr4	152086432	152086642
chr1	152657737	152657996
chr1	77444284	77444534
chr6	40180228	40180492
chr5	111583992	111584175
chr19	38293784	38294034
chr4	118546248	118546502
chr12	104842810	104843074
chr14	64919470	64919720
chr5	130856727	130856977
chr7	96563589	96563839
chr12	58209363	58209627
chr3	98421485	98421749
chr6	39070481	39070731
chr1	159771471	159771721
chr3	65767357	65767621
chr17	27197695	27197959
chr11	46137254	46137504
chr11	74990443	74990637
chr11	103919184	103919434
chr11	118506336	118506600
chr17	30744135	30744399
chr1	135743467	135743731
chr15	74260989	74261253
chr1	167261985	167262249
chr14	73467325	73467575
chr11	28275652	28275904
chr11	61061458	61061638
chr12	112519418	112519668
chr2	181761361	181761625
chr15	84947834	84948087
chr16	32685083	32685333
chr14	59513212	59513462
chr10	79636777	79636985
chr10	59117286	59117539
chr2	120049020	120049270
chr2	129599134	129599384
chr2	168691826	168692076
chr5	134253164	134253414
chr16	35488082	35488346
chr16	18418812	18419076
chr2	172286144	172286394
chr11	120028740	120028995
chr2	127439984	127440240
chr16	7215303	7215553
chr9	119521434	119521684
chr5	15917329	15917593
chr8	13694785	13695035
chr3	51529293	51529557
chr7	46616309	46616560
chr2	117434335	117434593
chr4	103628012	103628269
chr7	131973093	131973343
chr1	192264739	192265003
chr19	57236961	57237211
chr9	121661351	121661615
chr5	148618708	148618972
chr8	25188691	25188941
chr5	150046806	150047070
chr5	37224530	37224794
chr18	60949353	60949571
chr7	122724236	122724486
chr5	99389977	99390227
chr19	58295812	58296062
chr3	85308319	85308574
chr4	28296732	28296996
chr11	114297895	114298145
chr15	89065786	89066036
chr13	84634806	84635070
chr6	85204809	85205059
chr9	41052014	41052278
chr11	113328827	113329091
chr13	109045001	109045251
chr6	120508265	120508529
chr2	168104706	168104960
chr11	80722003	80722253
chr1	51994335	51994599
chr1	35881941	35882191
chr13	48550006	48550259
chr17	67903488	67903738
chr3	138863362	138863595
chr18	56525676	56525926
chr2	30964901	30965165
chr19	44876636	44876900
chr11	79074452	79074716
chr8	87705054	87705312
chr6	38242885	38243135
chr16	30930047	30930297
chr7	45231457	45231721
chr16	90314791	90315055
chr17	87166926	87167176
chr15	78714210	78714372
chr4	101290075	101290220
chr6	135524582	135524837
chr17	66500912	66501176
chr11	113441883	113442147
chr8	122643801	122644060
chr3	129643951	129644215
chr7	78594948	78595212
chr17	34195133	34195383
chr9	108400912	108401162
chr4	46753947	46754197
chr2	30338904	30339154
chr5	110596707	110596957
chr8	22474229	22474479
chr7	132358623	132358887
chr11	83415445	83415706
chr5	124920680	124920930
chr7	112295841	112296091
chr13	16980106	16980356
chr4	139050823	139051039
chr1	40952999	40953249
chr2	126785801	126786051
chr6	118853512	118853776
chr12	59618169	59618419
chr3	82147102	82147222
chr11	69171616	69171866
chr19	23779891	23780141
chr8	9709757	9710021
chr5	120655613	120655792
chr5	122896518	122896782
chr6	83362715	83362965
chr5	35731281	35731531
chr9	97430486	97430736
chr14	34538397	34538661
chr2	157893494	157893758
chr11	65103535	65103785
chr11	102222827	102223077
chr2	153148873	153149137
chr12	51120702	51120952
chr9	54217260	54217510
chr2	102035305	102035559
chr12	92075546	92075796
chr17	27765044	27765308
chr14	70497152	70497416
chr18	65149147	65149397
chr2	32893380	32893630
chr6	134519297	134519561
chr10	86494038	86494288
chr4	130015399	130015512
chr11	24146603	24146867
chr5	124348852	124349116
chr7	28958518	28958782
chr7	25242392	25242642
chr1	133239934	133240184
