chrom	start	end
chr13	38514769	38514917
chr6	138052081	138052112
chr7	27397989	27398500
chr9	72964125	72965054
chr8	119922006	119923140
chr19	57149503	57150219
chr4	81580292	81580696
chr5	138747611	138747772
chr1	43505174	43506210
chr14	78727230	78727387
chr6	88709297	88709449
chr12	85127058	85127232
chr8	112037185	112037280
chr5	118006680	118007237
chr2	115849373	115849831
chr9	120916441	120916774
chr17	47909533	47909852
chr2	104206009	104206105
chr7	90604571	90604777
chr19	28329472	28330413
chr4	153117308	153117716
chr10	26629885	26630252
chr13	94895616	94895923
chr7	36083439	36084236
chr7	101325121	101325315
chr11	98356026	98356602
chr5	139489219	139489695
chr19	57319372	57320914
chr14	120800350	120800661
chr14	70459072	70459750
chr11	25999947	26000479
chr2	165799424	165799666
chr14	76715678	76715953
chr5	92110017	92110668
chr11	12315046	12315376
chr8	87954258	87955218
chr16	24897498	24897754
chr11	98727776	98728764
chr12	68888715	68889004
chr11	76446865	76447293
chr4	128788000	128788928
chr2	103878525	103879267
chr6	127759594	127761116
chrX	52253257	52253553
chr2	165649871	165650385
chr14	57562673	57564086
chr14	70473606	70473846
chr8	12931049	12931439
chr12	104449751	104450211
chr8	92702724	92703260
chr19	17699772	17700823
chr15	85048821	85049553
chr5	66913940	66914503
chr19	27019354	27019805
chr13	45270523	45271594
chr13	56268517	56269233
chr17	30276136	30277368
chr15	98791228	98791552
chr17	56816540	56817756
chr13	17985298	17985770
chr15	89283974	89284433
chr11	57211367	57211985
chr6	108832839	108833488
chr2	56103794	56103985
chr10	27938743	27939856
chr16	85025535	85025800
chr4	107685058	107685281
chr18	12567335	12567489
chr9	83045373	83046929
chr3	132867279	132869271
chr4	49680839	49680907
chr18	61449558	61449620
chr9	59771734	59771798
chr5	106975974	106976075
chr9	99393893	99394054
chr16	17255437	17256438
chr1	127503114	127503384
chr16	28847634	28848930
chr2	78750447	78750778
chr2	140655875	140657774
chr18	45672478	45672867
chr4	33667846	33668790
chr17	32755928	32756167
chr6	99156945	99157446
chr11	75248081	75249756
chr7	122572565	122573370
chr18	78669068	78669305
chr15	31992331	31992883
chr7	44346904	44349828
chr4	136746564	136747837
chr5	93140526	93141348
chr17	30068458	30068769
chr2	158348702	158348729
chr5	37891435	37891980
chr5	99215806	99216408
chr11	20862095	20863349
chr11	98167638	98167677
chr18	30489362	30489688
chr14	101846098	101846876
chr14	120822595	120823148
chr15	31314497	31314750
chr18	61159596	61159654
chr18	82970877	82970934
chr7	112121187	112121380
chr14	66125949	66126136
chr16	23811186	23811442
chr2	45312100	45312386
chr7	46638838	46638945
chr14	49043486	49043732
chr6	31256375	31257443
chr17	28630414	28631352
chr14	33531812	33531965
chr9	13665270	13665530
chr17	14472275	14472427
chr6	59606257	59606321
chr8	15394801	15395222
chr7	126083324	126084061
chr13	37073166	37073531
chr1	133257255	133258044
chr11	77780121	77780196
chr10	89820508	89821048
chr7	136053753	136054934
chr4	99103112	99103990
chr9	45537427	45538221
chr17	63623180	63623385
chr7	98107702	98108634
chr2	18889940	18889993
chr13	113353995	113354324
chr10	130540822	130541551
chr19	46512882	46513466
chr4	104322299	104322717
chr11	68109375	68109461
chr13	28549919	28550844
chr17	66016000	66016751
chr16	96232015	96232988
chr6	117965567	117966068
chr4	119119081	119119427
chr5	130180010	130180453
chr7	143060361	143060531
chr15	12192161	12193083
chr4	134650269	134650571
chr15	79821987	79822843
chr2	35662864	35663042
chr8	115009180	115009434
chr10	40774652	40774937
chr14	67764428	67765008
chr3	53475052	53475548
chrX	166849312	166849513
chr15	98420270	98421495
chr9	46789303	46789634
chr16	57549596	57549660
chr14	120148885	120149408
chr14	29048971	29050088
chr2	30088701	30088775
chr15	38887672	38888017
chr9	105248866	105249800
chr5	136274653	136275253
chr4	124268719	124270176
chr11	75343069	75343306
chr4	155243631	155244482
chr5	120535466	120536062
