chrom	start	end
chr1	119384029	119384180
chr1	132298441	132298702
chr1	13289177	13289441
chr1	133298864	133299114
chr1	133842388	133842652
chr1	134513890	134514140
chr1	135572784	135573040
chr1	13567501	13567751
chr1	135793853	135794117
chr1	135999883	136000133
chr1	152522288	152522552
chr1	15292509	15292764
chr1	154252787	154253051
chr1	15943782	15944032
chr1	172340750	172341014
chr1	177347307	177347565
chr1	177468605	177468869
chr1	179026686	179026948
chr1	179591689	179591953
chr1	182794713	182794977
chr1	182822713	182822963
chr1	189515608	189515858
chr1	191093632	191093893
chr1	194685946	194686196
chr1	24739362	24739626
chr1	36441217	36441467
chr1	39556122	39556372
chr1	39946451	39946715
chr1	40000962	40001212
chr1	40950749	40950999
chr1	40951843	40952107
chr1	42012941	42013191
chr1	43199940	43200139
chr1	47217123	47217386
chr1	47488898	47489148
chr1	62901494	62901752
chr1	64056023	64056281
chr1	72553134	72553255
chr1	73935819	73936069
chr1	74240484	74240748
chr1	76070804	76071054
chr1	89132676	89132940
chr1	90461806	90462070
chr1	91179889	91180139
chr1	92793879	92794129
chr1	93115478	93115742
chr1	93272552	93272802
chr1	93347265	93347529
chr10	10546740	10546990
chr10	107992686	107992950
chr10	111014619	111014869
chr10	111527009	111527271
chr10	112263619	112263869
chr10	121750238	121750499
chr10	123364676	123364926
chr10	127187675	127187925
chr10	127210309	127210573
chr10	127462592	127462856
chr10	17796060	17796324
chr10	19122218	19122482
chr10	19904170	19904420
chr10	22599266	22599516
chr10	22609224	22609474
chr10	36908868	36909118
chr10	40880141	40880391
chr10	40971429	40971643
chr10	5289351	5289601
chr10	59094391	59094655
chr10	59911197	59911461
chr10	7125094	7125344
chr10	75883133	75883397
chr10	76642705	76642969
chr10	76744244	76744508
chr10	77591595	77591859
chr10	78001727	78002142
chr10	78385616	78385866
chr10	81190206	81190470
chr10	81452402	81452666
chr10	81538169	81538421
chr10	84535704	84535954
chr10	85608582	85608832
chr10	86794915	86795179
chr10	90674517	90674697
chr10	94135077	94135341
chr10	95082778	95083040
chr10	95085831	95086095
chr10	98941051	98941301
chr11	101259237	101259488
chr11	102023561	102023825
chr11	102196099	102196349
chr11	102220577	102220827
chr11	103181470	103181720
chr11	103666398	103666662
chr11	103916934	103917184
chr11	104056022	104056286
chr11	107577479	107577743
chr11	108063209	108063464
chr11	110334824	110335074
chr11	111104497	111104747
chr11	111522837	111523101
chr11	113285093	113285343
chr11	113690577	113690827
chr11	114295645	114295895
chr11	114875556	114875806
chr11	115345030	115345280
chr11	115510185	115510435
chr11	115537166	115537292
chr11	116960789	116961040
chr11	117316780	117317030
chr11	117409396	117409660
chr11	117749526	117749776
chr11	118862240	118862504
chr11	119515073	119515337
chr11	119586717	119586981
chr11	120796527	120796791
chr11	121038852	121039116
chr11	16896045	16896303
chr11	17138739	17139000
chr11	20608506	20608756
chr11	24125185	24125448
chr11	24144339	24144603
chr11	28273400	28273652
chr11	32035906	32036156
chr11	35874385	35874635
chr11	36176196	36176460
chr11	36549319	36549569
chr11	3727599	3727849
chr11	3774495	3774759
